dataset,category,ratio_name,ratio_value,status,qps_num,recall_num,time_num_ms,qps_den,recall_den,time_den_ms
Laion,Large p_pass,SmartRoute/ACORN-gamma-improved,8.3906,OK (Recall>=0.9),1101.3228,0.9004,907.9990,131.2574,0.9032,7618.6200
Laion,Large p_pass,SmartRoute/UNG,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Threads=10,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Threads=10,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
Laion,Threads=10,SmartRoute/ACORN-gamma-improved,8.3906,OK (Recall>=0.9),1101.3228,0.9004,907.9990,131.2574,0.9032,7618.6200
Laion,Threads=10,SmartRoute/UNG,inf,"Infinity (Num>=0.9, Den Failed)",1101.3228,0.9004,907.9990,,,
BookReviews,Mixed,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Mixed,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Mixed,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Mixed,SmartRoute/UNG,4.0404,OK (Recall>=0.9),1366.3162,0.9008,731.8950,338.1634,0.9019,2957.1500
BookReviews,Small Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Small Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Small Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Small Length,SmartRoute/UNG,4.0404,OK (Recall>=0.9),1366.3162,0.9008,731.8950,338.1634,0.9019,2957.1500
BookReviews,Large Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Large Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Large Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Large Length,SmartRoute/UNG,4.0404,OK (Recall>=0.9),1366.3162,0.9008,731.8950,338.1634,0.9019,2957.1500
BookReviews,Small p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Small p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Small p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Small p_pass,SmartRoute/UNG,4.0404,OK (Recall>=0.9),1366.3162,0.9008,731.8950,338.1634,0.9019,2957.1500
BookReviews,Large p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Large p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Large p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Large p_pass,SmartRoute/UNG,4.0404,OK (Recall>=0.9),1366.3162,0.9008,731.8950,338.1634,0.9019,2957.1500
BookReviews,Threads=10,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Threads=10,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Threads=10,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1366.3162,0.9008,731.8950,,,
BookReviews,Threads=10,SmartRoute/UNG,4.0404,OK (Recall>=0.9),1366.3162,0.9008,731.8950,338.1634,0.9019,2957.1500
